,Year,ARG,BRA,PRY,COL,ECU,PER,BOL,URY,CHL,AVG
7,2009,31.4,42.2,38.1,43.0,37.1,35.2,36.9,34.5,38.2,37.39999999999999
8,2010,32.0,41.9,40.5,43.5,37.5,34.2,35.2,33.6,37.8,37.35555555555558
9,2011,31.0,41.7,41.4,42.4,34.1,33.5,33.7,31.6,37.3,36.29999999999998
10,2012,29.7,42.6,36.9,41.4,34.6,33.3,33.7,29.2,37.4,35.42222222222219
11,2013,29.4,41.8,37.3,41.5,35.7,32.7,35.2,30.0,37.4,35.666666666666664
12,2014,29.9,41.2,40.7,41.5,34.4,32.2,36.0,29.8,36.8,35.833333333333385
13,2015,30.1,40.9,36.7,40.0,34.9,32.6,34.8,29.8,36.1,35.10000000000001
14,2016,30.3,42.1,37.3,40.0,34.3,32.6,32.1,29.6,36.1,34.933333333333294
15,2017,29.7,42.0,39.2,39.0,33.8,32.3,31.7,29.6,36.3,34.844444444444484
16,2018,29.9,42.5,35.9,39.7,34.4,32.1,30.4,29.7,36.3,34.54444444444445
